,RApArcmin,pz1_act_dr6_fiducial,pz1_act_dr6_fiducial_err,pz1_act_dr6_Beta_1.2,pz1_act_dr6_Beta_1.2_err,pz1_act_dr6_Beta_1.4,pz1_act_dr6_Beta_1.4_err,pz1_act_dr6_Beta_1.6,pz1_act_dr6_Beta_1.6_err,pz2_act_dr6_fiducial,pz2_act_dr6_fiducial_err,pz2_act_dr6_Beta_1.2,pz2_act_dr6_Beta_1.2_err,pz2_act_dr6_Beta_1.4,pz2_act_dr6_Beta_1.4_err,pz2_act_dr6_Beta_1.6,pz2_act_dr6_Beta_1.6_err,pz3_act_dr6_fiducial,pz3_act_dr6_fiducial_err,pz3_act_dr6_Beta_1.2,pz3_act_dr6_Beta_1.2_err,pz3_act_dr6_Beta_1.4,pz3_act_dr6_Beta_1.4_err,pz3_act_dr6_Beta_1.6,pz3_act_dr6_Beta_1.6_err,pz4_act_dr6_fiducial,pz4_act_dr6_fiducial_err,pz4_act_dr6_Beta_1.2,pz4_act_dr6_Beta_1.2_err,pz4_act_dr6_Beta_1.4,pz4_act_dr6_Beta_1.4_err,pz4_act_dr6_Beta_1.6,pz4_act_dr6_Beta_1.6_err
0,1.0,6.099288010842098e-08,5.545971966855965e-09,6.099288010842098e-08,5.545971966855965e-09,6.099288010842098e-08,5.545971966855965e-09,6.099288010842098e-08,5.545971966855965e-09,6.099288010842098e-08,5.545971966855965e-09,6.099288010842098e-08,5.545971966855965e-09,6.099288010842098e-08,5.545971966855965e-09,6.099288010842098e-08,5.545971966855965e-09,6.099288010842098e-08,5.545971966855965e-09,6.099288010842098e-08,5.545971966855965e-09,6.099288010842098e-08,5.545971966855965e-09,6.099288010842098e-08,5.545971966855965e-09,6.099288010842098e-08,5.545971966855965e-09,6.099288010842098e-08,5.545971966855965e-09,6.099288010842098e-08,5.545971966855965e-09,6.099288010842098e-08,5.545971966855965e-09
1,1.5,9.516464429547258e-08,6.250889643767545e-09,9.516464429547258e-08,6.250889643767545e-09,9.516464429547258e-08,6.250889643767545e-09,9.516464429547258e-08,6.250889643767545e-09,9.516464429547258e-08,6.250889643767545e-09,9.516464429547258e-08,6.250889643767545e-09,9.516464429547258e-08,6.250889643767545e-09,9.516464429547258e-08,6.250889643767545e-09,9.516464429547258e-08,6.250889643767545e-09,9.516464429547258e-08,6.250889643767545e-09,9.516464429547258e-08,6.250889643767545e-09,9.516464429547258e-08,6.250889643767545e-09,9.516464429547258e-08,6.250889643767545e-09,9.516464429547258e-08,6.250889643767545e-09,9.516464429547258e-08,6.250889643767545e-09,9.516464429547258e-08,6.250889643767545e-09
2,2.0,7.528252576659199e-08,7.863748979479237e-09,7.528252576659199e-08,7.863748979479237e-09,7.528252576659199e-08,7.863748979479237e-09,7.528252576659199e-08,7.863748979479237e-09,7.528252576659199e-08,7.863748979479237e-09,7.528252576659199e-08,7.863748979479237e-09,7.528252576659199e-08,7.863748979479237e-09,7.528252576659199e-08,7.863748979479237e-09,7.528252576659199e-08,7.863748979479237e-09,7.528252576659199e-08,7.863748979479237e-09,7.528252576659199e-08,7.863748979479237e-09,7.528252576659199e-08,7.863748979479237e-09,7.528252576659199e-08,7.863748979479237e-09,7.528252576659199e-08,7.863748979479237e-09,7.528252576659199e-08,7.863748979479237e-09,7.528252576659199e-08,7.863748979479237e-09
3,2.5,6.665708871145226e-08,8.669598438502665e-09,6.665708871145226e-08,8.669598438502665e-09,6.665708871145226e-08,8.669598438502665e-09,6.665708871145226e-08,8.669598438502665e-09,6.665708871145226e-08,8.669598438502665e-09,6.665708871145226e-08,8.669598438502665e-09,6.665708871145226e-08,8.669598438502665e-09,6.665708871145226e-08,8.669598438502665e-09,6.665708871145226e-08,8.669598438502665e-09,6.665708871145226e-08,8.669598438502665e-09,6.665708871145226e-08,8.669598438502665e-09,6.665708871145226e-08,8.669598438502665e-09,6.665708871145226e-08,8.669598438502665e-09,6.665708871145226e-08,8.669598438502665e-09,6.665708871145226e-08,8.669598438502665e-09,6.665708871145226e-08,8.669598438502665e-09
4,3.0,7.249594008514256e-08,1.0559250905023469e-08,7.249594008514256e-08,1.0559250905023469e-08,7.249594008514256e-08,1.0559250905023469e-08,7.249594008514256e-08,1.0559250905023469e-08,7.249594008514256e-08,1.0559250905023469e-08,7.249594008514256e-08,1.0559250905023469e-08,7.249594008514256e-08,1.0559250905023469e-08,7.249594008514256e-08,1.0559250905023469e-08,7.249594008514256e-08,1.0559250905023469e-08,7.249594008514256e-08,1.0559250905023469e-08,7.249594008514256e-08,1.0559250905023469e-08,7.249594008514256e-08,1.0559250905023469e-08,7.249594008514256e-08,1.0559250905023469e-08,7.249594008514256e-08,1.0559250905023469e-08,7.249594008514256e-08,1.0559250905023469e-08,7.249594008514256e-08,1.0559250905023469e-08
5,3.5,5.708790871376116e-08,1.2513753229449633e-08,5.708790871376116e-08,1.2513753229449633e-08,5.708790871376116e-08,1.2513753229449633e-08,5.708790871376116e-08,1.2513753229449633e-08,5.708790871376116e-08,1.2513753229449633e-08,5.708790871376116e-08,1.2513753229449633e-08,5.708790871376116e-08,1.2513753229449633e-08,5.708790871376116e-08,1.2513753229449633e-08,5.708790871376116e-08,1.2513753229449633e-08,5.708790871376116e-08,1.2513753229449633e-08,5.708790871376116e-08,1.2513753229449633e-08,5.708790871376116e-08,1.2513753229449633e-08,5.708790871376116e-08,1.2513753229449633e-08,5.708790871376116e-08,1.2513753229449633e-08,5.708790871376116e-08,1.2513753229449633e-08,5.708790871376116e-08,1.2513753229449633e-08
6,4.0,-5.373608159473318e-09,1.2324710931770763e-08,-5.373608159473318e-09,1.2324710931770763e-08,-5.373608159473318e-09,1.2324710931770763e-08,-5.373608159473318e-09,1.2324710931770763e-08,-5.373608159473318e-09,1.2324710931770763e-08,-5.373608159473318e-09,1.2324710931770763e-08,-5.373608159473318e-09,1.2324710931770763e-08,-5.373608159473318e-09,1.2324710931770763e-08,-5.373608159473318e-09,1.2324710931770763e-08,-5.373608159473318e-09,1.2324710931770763e-08,-5.373608159473318e-09,1.2324710931770763e-08,-5.373608159473318e-09,1.2324710931770763e-08,-5.373608159473318e-09,1.2324710931770763e-08,-5.373608159473318e-09,1.2324710931770763e-08,-5.373608159473318e-09,1.2324710931770763e-08,-5.373608159473318e-09,1.2324710931770763e-08
7,4.5,-4.570590988400771e-08,1.330507221369821e-08,-4.570590988400771e-08,1.330507221369821e-08,-4.570590988400771e-08,1.330507221369821e-08,-4.570590988400771e-08,1.330507221369821e-08,-4.570590988400771e-08,1.330507221369821e-08,-4.570590988400771e-08,1.330507221369821e-08,-4.570590988400771e-08,1.330507221369821e-08,-4.570590988400771e-08,1.330507221369821e-08,-4.570590988400771e-08,1.330507221369821e-08,-4.570590988400771e-08,1.330507221369821e-08,-4.570590988400771e-08,1.330507221369821e-08,-4.570590988400771e-08,1.330507221369821e-08,-4.570590988400771e-08,1.330507221369821e-08,-4.570590988400771e-08,1.330507221369821e-08,-4.570590988400771e-08,1.330507221369821e-08,-4.570590988400771e-08,1.330507221369821e-08
8,5.0,-4.416384350210741e-08,1.409359107278257e-08,-4.416384350210741e-08,1.409359107278257e-08,-4.416384350210741e-08,1.409359107278257e-08,-4.416384350210741e-08,1.409359107278257e-08,-4.416384350210741e-08,1.409359107278257e-08,-4.416384350210741e-08,1.409359107278257e-08,-4.416384350210741e-08,1.409359107278257e-08,-4.416384350210741e-08,1.409359107278257e-08,-4.416384350210741e-08,1.409359107278257e-08,-4.416384350210741e-08,1.409359107278257e-08,-4.416384350210741e-08,1.409359107278257e-08,-4.416384350210741e-08,1.409359107278257e-08,-4.416384350210741e-08,1.409359107278257e-08,-4.416384350210741e-08,1.409359107278257e-08,-4.416384350210741e-08,1.409359107278257e-08,-4.416384350210741e-08,1.409359107278257e-08
9,5.5,-1.524179924721747e-08,1.5377879884827817e-08,-1.524179924721747e-08,1.5377879884827817e-08,-1.524179924721747e-08,1.5377879884827817e-08,-1.524179924721747e-08,1.5377879884827817e-08,-1.524179924721747e-08,1.5377879884827817e-08,-1.524179924721747e-08,1.5377879884827817e-08,-1.524179924721747e-08,1.5377879884827817e-08,-1.524179924721747e-08,1.5377879884827817e-08,-1.524179924721747e-08,1.5377879884827817e-08,-1.524179924721747e-08,1.5377879884827817e-08,-1.524179924721747e-08,1.5377879884827817e-08,-1.524179924721747e-08,1.5377879884827817e-08,-1.524179924721747e-08,1.5377879884827817e-08,-1.524179924721747e-08,1.5377879884827817e-08,-1.524179924721747e-08,1.5377879884827817e-08,-1.524179924721747e-08,1.5377879884827817e-08
10,6.0,-2.9079318487638936e-09,1.4922850637963682e-08,-2.9079318487638936e-09,1.4922850637963682e-08,-2.9079318487638936e-09,1.4922850637963682e-08,-2.9079318487638936e-09,1.4922850637963682e-08,-2.9079318487638936e-09,1.4922850637963682e-08,-2.9079318487638936e-09,1.4922850637963682e-08,-2.9079318487638936e-09,1.4922850637963682e-08,-2.9079318487638936e-09,1.4922850637963682e-08,-2.9079318487638936e-09,1.4922850637963682e-08,-2.9079318487638936e-09,1.4922850637963682e-08,-2.9079318487638936e-09,1.4922850637963682e-08,-2.9079318487638936e-09,1.4922850637963682e-08,-2.9079318487638936e-09,1.4922850637963682e-08,-2.9079318487638936e-09,1.4922850637963682e-08,-2.9079318487638936e-09,1.4922850637963682e-08,-2.9079318487638936e-09,1.4922850637963682e-08
